"pool_id","displayName","maximumCount","enabled","description"
"s7n-girls","Green Lights 4 Girls (Win7)",2,"false","View Agent (6.2.2) Firefox (55.0.3), Chrome (61.0), Flash (27.0.0), Libre Office (5.4.1.2), Adobe Reader DC (17.012), JRE (8u144)"
"s7n-gram","Gramatyki grafowe
(Win7)",2,"false","View Agent (6.0.1) oraz Firefox (44.0.2), Chrome (49.0), IE (10), Flash (20.0.0), Adobe Reader DC (15.010), Libre Office (5.1.0), JRE 8u73
Dograne, a nie instalowane: GraphTool i LineTree 3D"
"s7n-dbprog","Programowanie aplikacji z baza danych (Win7)",2,"false","View Agent (6.0.1) oraz Firefox (30.0), Flash (11.6), Foxit (5.4.5), Wireshark (1.8.6), Putty, WinSCP, MySQL Workbench (6.1.7), MS SQL 2012, Visual Studio Premium 2012 i włączony telnet - do zajęć z sieci."
"s7n-tai-auto","Technologie Aplikacji Internetowych (Win7)",2,"false","View Agent (6.2.2), View Client (4.7.0), Firefox (59.0.0), Chrome (65.0), IE (10), Flash (29), Adobe Reader DC (18.011), Libre Office (5.1.0), JRE+JDK (8u162) + zmienne środowiskowe, Apache Tomcat 8.0.33, Apache Maven 3.3.9, Apache JMeter 2.13, Spring Tool Suite 3.7.3 (Eclipse 4.6 based), IntelliJ IDEA Community Edition 2016.1.1, Git Portable Win 2.8.10, Notepad++ (7.5.4)"
"s7n-softeng","Software Modeling (Win7)",2,"false",
"s7n-statgr","Statystyka - Statgraph (Win7)",2,"false","View Agent (6.2.2) oraz Firefox (45.0.1), Chrome (49.0), IE (11), Flash (21.0.0), Adobe Reader (11.0.15) Libre Office (5.1.2), JRE (8u77), Statgraphics Centurion XVII.I (17.01)"
"s7n-matlab-nGPU","Matlab - without GPU support",2,"false",
"s7n-sabre","Sabre Academy Lab (Win7)",25,"false","View Agent (6.2.2), Firefox (55.0.3), Chrome (61.0) z pluginem Postman, Flash (27.0.0), Libre Office (5.4.1.2), Graphviz (2.38), Jenkins (0.2.73.1000), JDK (8.0.1440.1), IntelliJ IDEA 2017.2.4, Git (2.14.1), Maven, JMeter"
"s7-mso","Metody sztucznej inteligencji (Win 7)",2,"false","View Agent (6.0.1) oraz Firefox (42.0), Chrome (47.0), IE (10), Flash (18.0.0), Adobe Reader DC (15.007), Libre Office (5.0.1), JDK 8u65 with NetBeans (8.0.2)"
"s10n-podyp","Studia podyplomowe (Win10)",2,"false","View Agent (6.2.2) oraz Libre Office (5.1.0.3), Firefox (45.0.0), Chrome (49.0), Flash (20.0.0), Adobe Reader DC (15.010), Java JRE (8u73), Apache2.4 + PHP 7 Eclipse Mars2 PHP, Eclipse Mars2 JavaEE, Mysql 5.0, WildFly (JBoss) 10"
"s10-baseGPU","GPU Programming (Win 10)",2,"false","View Agent (6.2.2) oraz Libre Office(5.2.2.2), Firefox (50.0.1), Chrome (55.0), Flash (24.0.0), Adobe Reader DC (15.020), Java JRE (8u121), Blender (2.78.0), Qt (5.7), MinGW (5.3.0), Art of Illusion (3.0.3)"
"s7-appweb","Programowanie Aplikacji Web (Win7)",2,"false","View Agent (6.0.1) oraz Firefox (32.0.3), IE (10), Flash (15.0.0), WinSCP, Wireshark (1.8.6), Python (2.7.10), Foxit (5.4.5)"
"s7n-podyptai","Mobilne aplikacje webowe (Win7)",20,"true","View Agent (6.2.2), View Client (4.7.0), Firefox (59.0.0), Chrome (65.0), IE (10), Flash (29), Adobe Reader DC (18.011), Libre Office (5.1.0), JRE+JDK (8u162) + zmienne środowiskowe, Apache Tomcat 8.0.33, Apache Maven 3.3.9, Apache JMeter 2.13, Spring Tool Suite 3.7.3 (Eclipse 4.6 based), IntelliJ IDEA Community Edition 2016.1.1, Git Portable Win 2.8.10, Notepad++ (7.5.4)"
"s10n-icsr","Podstawowy system - ICSR (Win10)",40,"true","View Agent (6.2.2) View Client (4.7.0) Libre Office (6.0.1.1), Firefox (59.0.1), Chrome (65.0), Flash (29.0.0), Adobe Reader DC (18.011), Java JRE (8u121 i 9.0), Gnuplot (5.2), gVim (8.0), Eclipse Java Oxygen, GitBash (2.14.1), puTTY (0.70), IntelliJ IDEA CE (172.4343), ScalaIDE, 7Zip, R (3.4.2), RStudio (1.1.383), MongoDB (3.4.10), Robo 3T (1.1.1), MSYS2 (20161025) oraz Ruby (2.4.2) wraz z: SQLite3, rubygems (2.6.12), Rails (5.1.4), JuliaPro (0.6.2.2), Jupyter (0.6.2.2)"
"s7n-proglang","Języki programowania (Win 7)",60,"true","View Agent (6.2.2) i View Client (4.6.0) oraz Libre Office (6.0.1), Firefox (58.0.0), Chrome (62.0), Flash (27.0.0), VLC (2.2.4), WinSCP (5.9.2), Adobe Reader (18.009), JRE (8u144), Java SDK (8u144), Eclipse Neon, IntelliJ (13.1.5), Emacs (24.3.1), Notepad++ (6.5), Python (3.4.3), PyCharm (4.0.4), Erlang (6.2) GNULisp (2.49), Android Studio (1.0), Windows Phone SDK (7.1), Wireshark (2.2.1), TortoiseSVN (1.9.4), Haroopad (0.13.1), Git (2.10.1), 7Zip (16.04), Dev-C++ (5.11), CodeBlocks (16.01)"
"s7n-tai","Technologie Aplikacji Internetowych (Win7)",20,"true","View Agent (6.2.2), View Client (4.7.0), Firefox (59.0.0), Chrome (65.0), IE (10), Flash (29), Adobe Reader DC (18.011), Libre Office (5.1.0), JRE+JDK (8u162) + zmienne środowiskowe, Apache Tomcat 8.0.33, Apache Maven 3.3.9, Apache JMeter 2.13, Spring Tool Suite 3.7.3 (Eclipse 4.6 based), IntelliJ IDEA Community Edition 2016.1.1, Git Portable Win 2.8.10, Notepad++ (7.5.4)"
"s7n-expert","Systemy ekspertowe i sztuczna inteligencja (Win7)",25,"true","View Agent (6.2.2) i View Client (4.7.0) oraz Chrome (65.0), Firefox (58.0.2), Adobe Flash (29.0), Adobe Reader (18.011), Apache Tomcat (7.0), Weka (3.6.10), Libre Office (6.0.1), JDK (7u40), Prolog (6.4.1), Python (3.6.4), Anaconda (5.1), Keras (2.1.5), Gym-OpenAI (0.10.3), PyCharm Community (2017.3.4)"
"s10n-dbprog","Programowanie aplikacji z baza danych (Win10)",30,"true","View Agent (6.2.2) oraz Firefox (59.0), Chrome (65.0), Flash (27.0.0), Foxit (5.4.5), Putty, WinSCP, MS SQL 2016, Visual Studio Studio 2015 (komponenty dla MS SQL), Libre Office (6.0.2.1), MySQL Workbench 6.3 CE, JDK, Visual Community 2017 (ASP.NET and web development, Data storage and processing, Universal Windows Platform development), Eclipse Oxygen for Java Developers."
"s7n-net","Sieci (Win7)",24,"true","View Agent (6.0.1) Firefox (55.0.3), Chrome (61.0), Flash (27.0.0) foxit, wireshark, putty, winscp i wlaczony telnet - do zajęć z sieci."
"s7n-compvisGPU","Computer Vision with GPU (Win7)",15,"true",
"s7n-compvis","Computer vision (Win7)",15,"true","View Agent (6.2.2), Firefox (59.0.1), Chrome (65.0), Flash (29.0.0), Adobe Reader DC (18.011), IE (11), JRE (8u151), Libre Office (6.0.2), Python (2.7.14), Numpy (1.10.2), Matplotlib (1.5.0), PyCharm Community (2017.2.4), Aldebaran Choregraphe (1.14.5)"
"s7n-autopsy","Autopsy (Win7)",5,"true","View Agent (6.2.2), Firefox (57.0), Chrome (62.0), IE (11), Flash (27.0.0), Adobe Reader DC (18.009), JRE (8u151), Libre Office (5.3.6), Autopsy (4.5.0)"
"s10n-softeng","Software Modeling in English (Win10)",60,"true","View Agent (6.2.2), View Client (4.6.0) oraz Adobe Reader , LibreOffice (5.4.1.2), Google Chrome (62.0), Firefox (56.0.2), Flash Player (27.0.0), File Zilla, Java JDK (8u152), Apache Ant (1.9.9), MS Visio Professional 2016, MS Project Professional 2016, Visual Paradigm 14.2, StarUML, Balsamiq Mockups (licencja wygasa 26.02.2018)"
"s10n-mwo","Metody wytwarzania oprogramowania (Win10)",10,"true",
"s7n-matlab","Matlab (Win7)",25,"true","View Agent (6.2.2) z anglojęzycznym oprogramowaniem: Firefox (55.0.3), Chrome (61.0), IE (9), Flash (27.0.0), Adobe Reader DC (15.0.23), Libre Office (5.4.1.2), JRE 8u44, Matlab 2014b, Matlab 2015b."
"s7n-liceum","Liceum (Win7)",30,"true","View Agent (6.2.2) oraz Adobe Reader (15.007), LibreOffice (5.4.2.2), Google Chrome (62.0), Firefox (56.0.2), Flash Player (27), Java JDK (8u101), WinSCP (5.9.2), Sublime Text (2.0.2), CodeBlocks (13.12), IntelliJ IDEA (13.1.5), Git (1.9.4), Python (3.4.1), PyCharm (3.4.1), Visual Studio Express (2013)"
